IMAGE,MEL,NV,BCC,AKIEC,BKL,DF,VASC
ISIC_0000000.jpg,2.362650819345141e-13,1,2.9123380176645827e-19,4.058465308950068e-18,3.031261222932735e-14,9.812437771228533e-20,1.1557051322885759e-11
ISIC_0000001.jpg,1.930714432774039e-8,1,2.2615231684534003e-18,2.3796235908974444e-17,2.788580727008244e-13,6.868639800121875e-18,2.336430474005752e-13
ISIC_0000002.jpg,0.025112606585025787,0.9747440218925476,4.486291516059282e-7,4.492131040478853e-7,0.00012041302397847176,8.218756306632713e-7,0.000021251951693557203
ISIC_0000003.jpg,0.0005759664345532656,0.9994184374809265,1.7412734365507276e-8,5.841210892754134e-8,0.0000037871448057558155,1.0437378072936099e-8,0.0000022159513264341513
ISIC_0000004.jpg,3.20670001663359e-9,0.9772161245346069,6.833368845272393e-15,6.747767709175401e-12,1.9920871896506043e-10,8.9844277850748e-13,0.022784357890486717
ISIC_0000006.jpg,1.95488297549673e-7,1,1.8217199006486913e-15,2.1662496625597834e-14,1.9916341145731487e-11,1.3504919669268377e-14,1.5720880153224925e-10
ISIC_0000007.jpg,0.00007164945418480784,0.9999275207519531,3.758783562179957e-10,3.051153552036112e-9,5.638431730403681e-7,8.118144489976942e-10,5.474297495311475e-7
ISIC_0000008.jpg,0.0019707661122083664,0.9979279041290283,1.0075665812792067e-7,2.6502081595936033e-7,0.00009745552233653143,6.796931018016039e-8,0.000003760634172067512
ISIC_0000009.jpg,0.000001827301389312197,0.9999980926513672,4.694909147865897e-14,2.0059436967381772e-13,9.406602163863909e-10,1.9340708505219406e-13,1.5386502072445296e-9
ISIC_0000011.jpg,7.249616906790379e-9,1,6.1429891358986185e-15,2.930355881992225e-13,8.785059346649859e-10,2.2167031800629858e-14,3.051162100753402e-11
ISIC_0000012.jpg,0.9952391982078552,0.004677954129874706,1.1542469025016544e-7,2.689648965770175e-7,0.00008156174590112641,4.596940073042788e-7,2.2925756582026224e-7
ISIC_0000013.jpg,2.1813087447419832e-10,1,3.4407371672531237e-18,5.615612049847767e-17,2.491927291684709e-13,2.0070791033096387e-18,1.362666625587608e-13
ISIC_0000014.jpg,0.19788692891597748,0.762203574180603,0.000005419528861239087,0.000018216005628346466,0.03986905515193939,0.000005251845777820563,0.000011735502084775362
ISIC_0000015.jpg,0.029200628399848938,0.9707096219062805,8.504258630637196e-9,4.6436877454425485e-8,0.00008893029735190794,2.825373890402716e-8,4.144127103700157e-7
ISIC_0000016.jpg,0.0000023516979581472697,0.9999837875366211,9.387383925751891e-11,2.2923765108373573e-9,1.4356248811964178e-7,1.8065757223517664e-10,0.000013412708540272433
ISIC_0000017_downsampled.jpg,0.04185625910758972,0.9581414461135864,7.95764842909108e-10,5.966068528096002e-9,0.0000023482332380808657,8.583636912362635e-9,1.0671985251065053e-7
ISIC_0000018_downsampled.jpg,0.041323333978652954,0.9586770534515381,2.5759604518893475e-11,2.8838275517584222e-11,5.8006200731597346e-8,6.02289815243573e-11,1.3460362824346817e-9
